                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4757,                 3.1038,                 1.6403,                0.29417,                0.33845,                0.25308,                0.14902,                 1.4734,                 2.3925,                 1.7589,             0.00020746,             0.00020746,             0.00020746
                      2,                 1.4216,                 2.2388,                 1.5304,                0.34877,                  0.368,                0.32384,                0.18973,                 1.4613,                 2.2116,                 1.7851,             0.00041305,             0.00041305,             0.00041305
                      3,                 1.4358,                 2.0962,                 1.5488,                0.36985,                0.47686,                0.34067,                0.20227,                 1.4487,                 2.0793,                 1.7013,             0.00061589,             0.00061589,             0.00061589
                      4,                 1.4279,                 2.0065,                 1.5491,                0.28991,                0.51669,                0.34828,                0.20313,                 1.4885,                 2.0537,                 1.7525,             0.00061262,             0.00061262,             0.00061262
                      5,                 1.4173,                 1.9022,                 1.5437,                0.43654,                0.50356,                0.43412,                0.26242,                 1.4209,                 2.0053,                 1.6801,             0.00061262,             0.00061262,             0.00061262
                      6,                 1.3666,                 1.7947,                 1.4924,                0.49881,                0.53259,                0.45942,                0.27803,                 1.3676,                 2.2553,                 1.6302,              0.0006085,              0.0006085,              0.0006085
                      7,                 1.3563,                 1.7522,                 1.5051,                0.50995,                0.48634,                0.43849,                0.27499,                 1.3762,                 1.7022,                  1.619,             0.00060437,             0.00060437,             0.00060437
                      8,                 1.3568,                 1.7008,                  1.494,                0.40414,                 0.5855,                0.50267,                0.31535,                 1.3567,                  1.585,                 1.6045,             0.00060025,             0.00060025,             0.00060025
                      9,                 1.3465,                 1.6617,                 1.4893,                0.42642,                0.55076,                0.47905,                0.28934,                 1.4472,                  1.695,                 1.6852,             0.00059612,             0.00059612,             0.00059612
                     10,                 1.2959,                 1.5675,                 1.4544,                 0.5506,                0.53282,                0.54447,                0.33321,                 1.4043,                 1.4782,                 1.6707,               0.000592,               0.000592,               0.000592
